Training with latent size: 2
Mean: -0.16033035516738892, Log Var: -6.189425468444824
Mean: -0.04005900397896767, Log Var: -6.259493827819824
Mean: -0.044237203896045685, Log Var: -6.213225364685059
Mean: 0.02374195121228695, Log Var: -6.265938758850098
Mean: -0.07192938029766083, Log Var: -6.27278995513916
Mean: -0.15342627465724945, Log Var: -6.337425231933594
Mean: -0.026709727942943573, Log Var: -6.328057765960693
Mean: -0.1056106761097908, Log Var: -6.241739273071289
Mean: -0.07118498533964157, Log Var: -6.367978572845459
Mean: -0.025000378489494324, Log Var: -6.248176097869873
Mean: -0.012968759052455425, Log Var: -6.218515396118164
Mean: -0.05317617207765579, Log Var: -6.230106830596924
Mean: -0.01685226336121559, Log Var: -6.316162109375
Mean: -0.05291399732232094, Log Var: -6.304186820983887
Mean: -0.1956961452960968, Log Var: -6.336849212646484
Mean: -0.09650412946939468, Log Var: -6.207212448120117
Mean: -0.0345831960439682, Log Var: -6.330324649810791
Mean: -0.11675123870372772, Log Var: -6.002499103546143
Mean: -0.06469114124774933, Log Var: -6.251230716705322
Mean: -0.04812408238649368, Log Var: -6.238749980926514
Mean: -0.10632003843784332, Log Var: -6.2142462730407715
Mean: -0.10360182821750641, Log Var: -6.347790241241455
Mean: -0.02654973976314068, Log Var: -6.094824314117432
Mean: -0.16833247244358063, Log Var: -6.2310662269592285
Mean: -0.1591377854347229, Log Var: -6.32368278503418
Mean: 0.0441572368144989, Log Var: -6.194761753082275
Mean: -0.09335768222808838, Log Var: -6.384739875793457
Mean: -0.10212647914886475, Log Var: -6.24596643447876
Mean: -0.06418851017951965, Log Var: -6.311418533325195
Mean: 0.018263407051563263, Log Var: -6.231621742248535
Mean: -0.025343984365463257, Log Var: -6.248108863830566
Mean: -0.10761933773756027, Log Var: -6.288025379180908
Mean: -0.009168865159153938, Log Var: -6.260424613952637
Mean: -0.12960460782051086, Log Var: -6.398679256439209
Mean: -0.021027598530054092, Log Var: -6.279013633728027
Mean: -0.11475250124931335, Log Var: -6.298148155212402
Mean: -0.06239882856607437, Log Var: -6.130868911743164
Mean: -0.04260234907269478, Log Var: -6.164616584777832
Mean: -0.22457464039325714, Log Var: -6.151167869567871
Mean: -0.06909924000501633, Log Var: -6.228811740875244
Mean: -0.07130167633295059, Log Var: -6.144473552703857
Mean: 0.021216044202446938, Log Var: -6.199785232543945
Mean: -0.13926449418067932, Log Var: -6.293712139129639
Mean: -0.03434421867132187, Log Var: -6.2702484130859375
Mean: -0.22010143101215363, Log Var: -6.284053325653076
Mean: -0.026349231600761414, Log Var: -6.330469608306885
Mean: -0.13724224269390106, Log Var: -6.150931358337402
Mean: -0.04104001075029373, Log Var: -6.199637413024902
Mean: -0.04387497901916504, Log Var: -6.332903861999512
Mean: -0.07327542454004288, Log Var: -6.225667476654053
Mean: 0.044759321957826614, Log Var: -6.278371334075928
Mean: 0.0017494750209152699, Log Var: -6.1450700759887695
Mean: -0.07355628162622452, Log Var: -6.234916687011719
Mean: -0.030080361291766167, Log Var: -6.497214317321777
Mean: -0.09299837052822113, Log Var: -6.201276779174805
Mean: -0.10303641855716705, Log Var: -6.487232685089111
Mean: -0.1044943630695343, Log Var: -6.390537738800049
Mean: -0.08287695050239563, Log Var: -6.418398380279541
Mean: -0.07551779597997665, Log Var: -6.423389911651611
Mean: -0.28516414761543274, Log Var: -6.538695335388184
Mean: -0.24824988842010498, Log Var: -6.6201653480529785
Mean: -0.15534934401512146, Log Var: -6.552891254425049
Mean: -0.022495340555906296, Log Var: -6.563730239868164
Mean: -0.217107355594635, Log Var: -6.232317924499512
Mean: 0.014046942815184593, Log Var: -6.425117015838623
Mean: -0.04323803260922432, Log Var: -6.130660057067871
Mean: 0.25530773401260376, Log Var: -6.117137908935547
Mean: 0.07640771567821503, Log Var: -6.281315326690674
Mean: -0.20010749995708466, Log Var: -6.215198993682861
Mean: 0.06205213814973831, Log Var: -6.375269412994385
Mean: 0.14201904833316803, Log Var: -6.392825126647949
Mean: 0.13060522079467773, Log Var: -6.268274307250977
Mean: 0.13831816613674164, Log Var: -6.18414831161499
Mean: 0.09840107709169388, Log Var: -6.554934024810791
Mean: 0.26858779788017273, Log Var: -6.019282817840576
Mean: 0.15196578204631805, Log Var: -6.185860633850098
