Length of men_no_glasses_loader: 2312
Length of men with glasses loader: 328
Length of women with glasses loader: 85
Finished initialising datasets and dataloaders
Epoch [1/300], Loss_G: 5.638885974884033, Loss_D: 0.12976181507110596
Epoch [2/300], Loss_G: 4.885948181152344, Loss_D: 0.04358436167240143
Epoch [3/300], Loss_G: 4.356508255004883, Loss_D: 0.02795965038239956
Epoch [4/300], Loss_G: 4.3247175216674805, Loss_D: 0.005777536425739527
Epoch [5/300], Loss_G: 4.255242347717285, Loss_D: 0.016507867723703384
Epoch [6/300], Loss_G: 4.243037223815918, Loss_D: 0.004411670379340649
Epoch [7/300], Loss_G: 3.894639015197754, Loss_D: 0.004958426579833031
Epoch [8/300], Loss_G: 3.8487696647644043, Loss_D: 0.002958733821287751
Epoch [9/300], Loss_G: 3.859713077545166, Loss_D: 0.0019118887139484286
Epoch [10/300], Loss_G: 3.9741554260253906, Loss_D: 0.018740251660346985
Epoch [11/300], Loss_G: 3.6456387042999268, Loss_D: 0.07487793266773224
Epoch [12/300], Loss_G: 3.7131872177124023, Loss_D: 0.021547973155975342
Epoch [13/300], Loss_G: 3.69189715385437, Loss_D: 0.006835643667727709
Epoch [14/300], Loss_G: 3.698392868041992, Loss_D: 0.006860028021037579
Epoch [15/300], Loss_G: 3.7725844383239746, Loss_D: 0.005402082577347755
Epoch [16/300], Loss_G: 3.631789207458496, Loss_D: 0.004310850985348225
Epoch [17/300], Loss_G: 3.6854379177093506, Loss_D: 0.003027407918125391
Epoch [18/300], Loss_G: 3.6506125926971436, Loss_D: 0.009379076771438122
Epoch [19/300], Loss_G: 3.6362524032592773, Loss_D: 0.004000608343631029
Epoch [20/300], Loss_G: 3.514310836791992, Loss_D: 0.020637379959225655
Epoch [21/300], Loss_G: 3.6295406818389893, Loss_D: 0.02740192785859108
Epoch [22/300], Loss_G: 3.552427053451538, Loss_D: 0.010449128225445747
Epoch [23/300], Loss_G: 3.3856146335601807, Loss_D: 0.005549960304051638
Epoch [24/300], Loss_G: 3.6205525398254395, Loss_D: 0.011876899749040604
Epoch [25/300], Loss_G: 3.531536102294922, Loss_D: 0.005013613495975733
Epoch [26/300], Loss_G: 3.556421995162964, Loss_D: 0.009509915485978127
Epoch [27/300], Loss_G: 3.195809841156006, Loss_D: 0.04054952412843704
Epoch [28/300], Loss_G: 3.47466778755188, Loss_D: 0.0029944649431854486
Epoch [29/300], Loss_G: 3.360806703567505, Loss_D: 0.023619692772626877
Epoch [30/300], Loss_G: 3.6045494079589844, Loss_D: 0.06126229092478752
