Epoch [1/200], Loss_G: 5.355625629425049, Loss_D: 0.0985976904630661
Epoch [2/200], Loss_G: 5.094029903411865, Loss_D: 0.014379573985934258
Epoch [3/200], Loss_G: 4.649478912353516, Loss_D: 0.017406931146979332
Epoch [4/200], Loss_G: 4.312652587890625, Loss_D: 0.012588104233145714
Epoch [5/200], Loss_G: 4.080560684204102, Loss_D: 0.005234870128333569
Epoch [6/200], Loss_G: 4.187155246734619, Loss_D: 0.0038378708995878696
Epoch [7/200], Loss_G: 4.035906791687012, Loss_D: 0.008147367276251316
Epoch [8/200], Loss_G: 3.2887630462646484, Loss_D: 0.43904006481170654
Epoch [9/200], Loss_G: 3.8911848068237305, Loss_D: 0.011454399675130844
Epoch [10/200], Loss_G: 3.786855936050415, Loss_D: 0.006768173538148403
Epoch [11/200], Loss_G: 3.7958645820617676, Loss_D: 0.006457692012190819
Epoch [12/200], Loss_G: 3.8438363075256348, Loss_D: 0.006657774560153484
Epoch [13/200], Loss_G: 3.787450075149536, Loss_D: 0.0031969104893505573
Epoch [14/200], Loss_G: 3.807539463043213, Loss_D: 0.021786987781524658
Epoch [15/200], Loss_G: 3.5263452529907227, Loss_D: 0.014228811487555504
Epoch [16/200], Loss_G: 3.5816407203674316, Loss_D: 0.007256418000906706
Epoch [17/200], Loss_G: 3.6260132789611816, Loss_D: 0.01160938199609518
Epoch [18/200], Loss_G: 3.7622485160827637, Loss_D: 0.01027472410351038
Epoch [19/200], Loss_G: 3.379890203475952, Loss_D: 0.02967723459005356
Epoch [20/200], Loss_G: 3.593059778213501, Loss_D: 0.018616650253534317
Epoch [21/200], Loss_G: 3.635502815246582, Loss_D: 0.0038615104276686907
Epoch [22/200], Loss_G: 3.50185489654541, Loss_D: 0.002949104178696871
Epoch [23/200], Loss_G: 3.356354236602783, Loss_D: 0.0029208483174443245
Epoch [24/200], Loss_G: 3.486721992492676, Loss_D: 0.002984614809975028
Epoch [25/200], Loss_G: 3.310675621032715, Loss_D: 0.006966724060475826
Epoch [26/200], Loss_G: 3.5158212184906006, Loss_D: 0.0041231620125472546
Epoch [27/200], Loss_G: 3.4239072799682617, Loss_D: 0.00362656288780272
Epoch [28/200], Loss_G: 3.363126277923584, Loss_D: 0.0016369866207242012
Epoch [29/200], Loss_G: 3.2341599464416504, Loss_D: 0.014321120455861092
Epoch [30/200], Loss_G: 3.420790672302246, Loss_D: 0.0030494355596601963
Epoch [31/200], Loss_G: 3.3657407760620117, Loss_D: 0.003926590085029602
Epoch [32/200], Loss_G: 3.4637749195098877, Loss_D: 0.003021427197381854
Epoch [33/200], Loss_G: 3.285236358642578, Loss_D: 0.006688354536890984
Epoch [34/200], Loss_G: 3.3039469718933105, Loss_D: 0.0009767732117325068
Epoch [35/200], Loss_G: 3.455328941345215, Loss_D: 0.00521985674276948
Epoch [36/200], Loss_G: 3.28895902633667, Loss_D: 0.007218534126877785
Epoch [37/200], Loss_G: 3.2305572032928467, Loss_D: 0.0027071023359894753
Epoch [38/200], Loss_G: 3.2025253772735596, Loss_D: 0.005884109064936638
Epoch [39/200], Loss_G: 3.1827239990234375, Loss_D: 0.005860081873834133
Epoch [40/200], Loss_G: 3.308946132659912, Loss_D: 0.006299894768744707
Epoch [41/200], Loss_G: 3.32489013671875, Loss_D: 0.005595860071480274
Epoch [42/200], Loss_G: 3.404345750808716, Loss_D: 0.008950289338827133
Epoch [43/200], Loss_G: 3.401628017425537, Loss_D: 0.010052286088466644
Epoch [44/200], Loss_G: 3.278958320617676, Loss_D: 0.0009765502763912082
Epoch [45/200], Loss_G: 3.310760736465454, Loss_D: 0.008666099049150944
Epoch [46/200], Loss_G: 3.1364400386810303, Loss_D: 0.0006745029822923243
Epoch [47/200], Loss_G: 3.2215657234191895, Loss_D: 0.002912680385634303
Epoch [48/200], Loss_G: 3.344702959060669, Loss_D: 0.006913377437740564
Epoch [49/200], Loss_G: 3.448345422744751, Loss_D: 0.01228325068950653
Epoch [50/200], Loss_G: 3.239177942276001, Loss_D: 0.005949853919446468
Epoch [51/200], Loss_G: 3.109802484512329, Loss_D: 0.008761817589402199
Epoch [52/200], Loss_G: 3.326908588409424, Loss_D: 0.001604441786184907
Epoch [53/200], Loss_G: 3.2083020210266113, Loss_D: 0.0014541493728756905
Epoch [54/200], Loss_G: 3.1972594261169434, Loss_D: 0.0014562663855031133
Epoch [55/200], Loss_G: 3.2449355125427246, Loss_D: 0.0008798993658274412
Epoch [56/200], Loss_G: 3.253413677215576, Loss_D: 0.0011228062212467194
Epoch [57/200], Loss_G: 3.045452356338501, Loss_D: 0.008716289885342121
Epoch [58/200], Loss_G: 3.156238079071045, Loss_D: 0.002795051084831357
Epoch [59/200], Loss_G: 3.053713321685791, Loss_D: 0.011462115682661533
Epoch [60/200], Loss_G: 3.2709765434265137, Loss_D: 0.0032370155677199364
Epoch [61/200], Loss_G: 3.211308002471924, Loss_D: 0.0024412237107753754
Epoch [62/200], Loss_G: 3.019256114959717, Loss_D: 0.012466084212064743
Epoch [63/200], Loss_G: 3.1053223609924316, Loss_D: 0.009342382661998272
Epoch [64/200], Loss_G: 3.1886425018310547, Loss_D: 0.000989433960057795
Epoch [65/200], Loss_G: 3.057054281234741, Loss_D: 0.010231724008917809
Epoch [66/200], Loss_G: 3.139887809753418, Loss_D: 0.0015583370113745332
Epoch [67/200], Loss_G: 3.1610307693481445, Loss_D: 0.005505324341356754
Epoch [68/200], Loss_G: 2.9617834091186523, Loss_D: 0.005045432597398758
Epoch [69/200], Loss_G: 3.153911590576172, Loss_D: 0.001537491218186915
Epoch [70/200], Loss_G: 3.0962040424346924, Loss_D: 0.0006183130317367613
Epoch [71/200], Loss_G: 2.9902005195617676, Loss_D: 0.01236860640347004
Epoch [72/200], Loss_G: 3.063765048980713, Loss_D: 0.0007552537135779858
Epoch [73/200], Loss_G: 3.1284120082855225, Loss_D: 0.004764738027006388
Epoch [74/200], Loss_G: 3.024545669555664, Loss_D: 0.007992949336767197
Epoch [75/200], Loss_G: 3.2319369316101074, Loss_D: 0.010499628260731697
Epoch [76/200], Loss_G: 3.336786985397339, Loss_D: 0.025977184996008873
Epoch [77/200], Loss_G: 3.0137946605682373, Loss_D: 0.0019811601378023624
Epoch [78/200], Loss_G: 3.0553293228149414, Loss_D: 0.0017928570741787553
Epoch [79/200], Loss_G: 3.7106518745422363, Loss_D: 0.3355327546596527
Epoch [80/200], Loss_G: 3.067392587661743, Loss_D: 0.000758228125050664
