Epoch [1/200], Loss_G: 7.8597307205200195, Loss_D: 0.19977447390556335
Epoch [2/200], Loss_G: 5.868548393249512, Loss_D: 0.0653277337551117
Epoch [3/200], Loss_G: 5.120917797088623, Loss_D: 0.14754557609558105
Epoch [4/200], Loss_G: 5.299587726593018, Loss_D: 0.034035421907901764
Epoch [5/200], Loss_G: 5.145416259765625, Loss_D: 0.03728187829256058
Epoch [6/200], Loss_G: 5.381525993347168, Loss_D: 0.0421178936958313
Epoch [7/200], Loss_G: 5.039493560791016, Loss_D: 0.03729140758514404
Epoch [8/200], Loss_G: 4.913495063781738, Loss_D: 0.021110156551003456
Epoch [9/200], Loss_G: 5.161206245422363, Loss_D: 0.19286826252937317
Epoch [10/200], Loss_G: 4.3250732421875, Loss_D: 0.05458942428231239
Epoch [11/200], Loss_G: 4.4823713302612305, Loss_D: 0.020335588604211807
Epoch [12/200], Loss_G: 4.599515914916992, Loss_D: 0.013961886055767536
Epoch [13/200], Loss_G: 4.419098377227783, Loss_D: 0.030062256380915642
Epoch [14/200], Loss_G: 4.3576459884643555, Loss_D: 0.023381683975458145
Epoch [15/200], Loss_G: 4.311249256134033, Loss_D: 0.026568328961730003
Epoch [16/200], Loss_G: 4.214126110076904, Loss_D: 0.006881091743707657
Epoch [17/200], Loss_G: 4.268364429473877, Loss_D: 0.01772974617779255
Epoch [18/200], Loss_G: 4.123833656311035, Loss_D: 0.009540863335132599
Epoch [19/200], Loss_G: 4.233136177062988, Loss_D: 0.011663636192679405
Epoch [20/200], Loss_G: 4.192977428436279, Loss_D: 0.009496139362454414
Epoch [21/200], Loss_G: 3.9584178924560547, Loss_D: 0.006061048712581396
Epoch [22/200], Loss_G: 4.293025493621826, Loss_D: 0.006225422956049442
Epoch [23/200], Loss_G: 4.130401611328125, Loss_D: 0.004757307469844818
Epoch [24/200], Loss_G: 4.1309404373168945, Loss_D: 0.012872944585978985
Epoch [25/200], Loss_G: 4.227139949798584, Loss_D: 0.01965579017996788
Epoch [26/200], Loss_G: 4.042019844055176, Loss_D: 0.008966106921434402
Epoch [27/200], Loss_G: 4.236588478088379, Loss_D: 0.17320269346237183
Epoch [28/200], Loss_G: 4.141833782196045, Loss_D: 0.021572601050138474
Epoch [29/200], Loss_G: 3.903829574584961, Loss_D: 0.007040098309516907
Epoch [30/200], Loss_G: 3.781745433807373, Loss_D: 0.00976188387721777
Epoch [31/200], Loss_G: 4.011452674865723, Loss_D: 0.016105961054563522
Epoch [32/200], Loss_G: 3.9473533630371094, Loss_D: 0.009423908777534962
Epoch [33/200], Loss_G: 3.8279099464416504, Loss_D: 0.009576965123414993
Epoch [34/200], Loss_G: 3.7274253368377686, Loss_D: 0.004882330074906349
Epoch [35/200], Loss_G: 3.7843809127807617, Loss_D: 0.0038432739675045013
Epoch [36/200], Loss_G: 3.7602720260620117, Loss_D: 0.0045839655213057995
Epoch [37/200], Loss_G: 3.7637312412261963, Loss_D: 0.011593112722039223
Epoch [38/200], Loss_G: 3.72353196144104, Loss_D: 0.004770065192133188
Epoch [39/200], Loss_G: 3.6616318225860596, Loss_D: 0.0054581137374043465
Epoch [40/200], Loss_G: 3.761476516723633, Loss_D: 0.00497917365282774
Epoch [41/200], Loss_G: 3.9097900390625, Loss_D: 0.022194521501660347
Epoch [42/200], Loss_G: 3.748467206954956, Loss_D: 0.007850952446460724
