[0/10][0/1272]  Loss_D: 1.8932	Loss_G: 6.2211	D(x): 0.6284	D(G(z)): 0.6694 / 0.0035
[0/10][50/1272]	Loss_D: 0.5245	Loss_G: 17.6279	D(x): 0.9356	D(G(z)): 0.2969 / 0.0000
[0/10][100/1272]    Loss_D: 0.4122	Loss_G: 7.3447	D(x): 0.8052	D(G(z)): 0.0062 / 0.0015
[0/10][150/1272]	Loss_D: 0.7627	Loss_G: 7.6571	D(x): 0.9585	D(G(z)): 0.4466 / 0.0023
[0/10][200/1272]	Loss_D: 0.1488	Loss_G: 5.1150	D(x): 0.9297	D(G(z)): 0.0553 / 0.0211
[0/10][250/1272]	Loss_D: 0.2438	Loss_G: 6.9627	D(x): 0.8817	D(G(z)): 0.0549 / 0.0061
[0/10][300/1272]	Loss_D: 0.6508	Loss_G: 2.1740	D(x): 0.6728	D(G(z)): 0.1204 / 0.1678
[0/10][350/1272]	Loss_D: 0.5463	Loss_G: 4.0596	D(x): 0.6808	D(G(z)): 0.0398 / 0.0413
[0/10][400/1272]	Loss_D: 3.5801	Loss_G: 4.1983	D(x): 0.0842	D(G(z)): 0.0032 / 0.0585
[0/10][450/1272]	Loss_D: 1.3653	Loss_G: 12.1180	D(x): 0.9120	D(G(z)): 0.6397 / 0.0001
[0/10][500/1272]	Loss_D: 0.2644	Loss_G: 5.1752	D(x): 0.8468	D(G(z)): 0.0562 / 0.0124
[0/10][550/1272]	Loss_D: 0.3873	Loss_G: 5.7784	D(x): 0.9402	D(G(z)): 0.2279 / 0.0071
[0/10][600/1272]	Loss_D: 2.0513	Loss_G: 0.9995	D(x): 0.2964	D(G(z)): 0.0063 / 0.4812
[0/10][650/1272]	Loss_D: 0.1931	Loss_G: 5.8214	D(x): 0.9198	D(G(z)): 0.0809 / 0.0079
[0/10][700/1272]	Loss_D: 0.4694	Loss_G: 4.3187	D(x): 0.8175	D(G(z)): 0.1761 / 0.0206
[0/10][750/1272]	Loss_D: 0.4610	Loss_G: 4.6749	D(x): 0.8512	D(G(z)): 0.2106 / 0.0169
[0/10][800/1272]	Loss_D: 0.3317	Loss_G: 3.1433	D(x): 0.8662	D(G(z)): 0.1327 / 0.0646
[0/10][850/1272]	Loss_D: 0.8486	Loss_G: 7.7794	D(x): 0.9282	D(G(z)): 0.4561 / 0.0016
[0/10][900/1272]	Loss_D: 0.5004	Loss_G: 5.4672	D(x): 0.8367	D(G(z)): 0.2169 / 0.0097
[0/10][950/1272]	Loss_D: 0.4456	Loss_G: 4.8876	D(x): 0.9188	D(G(z)): 0.2541 / 0.0141
[0/10][1000/1272]	Loss_D: 1.0605	Loss_G: 7.5081	D(x): 0.9440	D(G(z)): 0.5346 / 0.0015
[0/10][1050/1272]	Loss_D: 0.7398	Loss_G: 6.8591	D(x): 0.9250	D(G(z)): 0.4123 / 0.0025
[0/10][1100/1272]	Loss_D: 0.5803	Loss_G: 3.4592	D(x): 0.7859	D(G(z)): 0.2194 / 0.0557
[0/10][1150/1272]	Loss_D: 1.3784	Loss_G: 2.1054	D(x): 0.3787	D(G(z)): 0.0038 / 0.2072
[0/10][1200/1272]	Loss_D: 0.6366	Loss_G: 2.5382	D(x): 0.6422	D(G(z)): 0.0525 / 0.1427
[0/10][1250/1272]	Loss_D: 0.6683	Loss_G: 3.8702	D(x): 0.6183	D(G(z)): 0.0481 / 0.0445
[1/10][0/1272]	Loss_D: 0.4764	Loss_G: 3.6049	D(x): 0.7897	D(G(z)): 0.1468 / 0.0516
[1/10][50/1272]	Loss_D: 0.5354	Loss_G: 4.3046	D(x): 0.8503	D(G(z)): 0.2623 / 0.0242
[1/10][100/1272]	Loss_D: 0.6446	Loss_G: 4.9505	D(x): 0.8888	D(G(z)): 0.3493 / 0.0140
[1/10][150/1272]	Loss_D: 0.5984	Loss_G: 2.5853	D(x): 0.7050	D(G(z)): 0.1059 / 0.1288
[1/10][200/1272]	Loss_D: 0.4145	Loss_G: 2.9299	D(x): 0.7695	D(G(z)): 0.0973 / 0.0927
[1/10][250/1272]	Loss_D: 1.7915	Loss_G: 5.0969	D(x): 0.8866	D(G(z)): 0.7242 / 0.0189
[1/10][300/1272]	Loss_D: 0.4833	Loss_G: 4.6808	D(x): 0.8944	D(G(z)): 0.2690 / 0.0154
[1/10][350/1272]	Loss_D: 0.4100	Loss_G: 3.1380	D(x): 0.7885	D(G(z)): 0.1003 / 0.0611
[1/10][400/1272]	Loss_D: 0.4934	Loss_G: 4.9050	D(x): 0.8907	D(G(z)): 0.2607 / 0.0145
[1/10][450/1272]	Loss_D: 0.5981	Loss_G: 2.5179	D(x): 0.6778	D(G(z)): 0.0873 / 0.1160
[1/10][500/1272]	Loss_D: 0.3705	Loss_G: 2.9751	D(x): 0.7885	D(G(z)): 0.0782 / 0.0802
[1/10][550/1272]	Loss_D: 0.7905	Loss_G: 2.8572	D(x): 0.5814	D(G(z)): 0.0088 / 0.0879
[1/10][600/1272]	Loss_D: 0.4388	Loss_G: 3.6405	D(x): 0.8069	D(G(z)): 0.1580 / 0.0408
[1/10][650/1272]	Loss_D: 0.3520	Loss_G: 4.1471	D(x): 0.8799	D(G(z)): 0.1679 / 0.0303
[1/10][700/1272]	Loss_D: 0.4824	Loss_G: 2.5292	D(x): 0.7057	D(G(z)): 0.0630 / 0.1227
[1/10][750/1272]	Loss_D: 0.6231	Loss_G: 4.1654	D(x): 0.8113	D(G(z)): 0.2765 / 0.0269
[1/10][800/1272]	Loss_D: 0.4071	Loss_G: 3.9917	D(x): 0.8990	D(G(z)): 0.2226 / 0.0306
[1/10][850/1272]	Loss_D: 0.4562	Loss_G: 3.2746	D(x): 0.7980	D(G(z)): 0.1630 / 0.0587
[1/10][900/1272]	Loss_D: 0.4314	Loss_G: 2.9496	D(x): 0.7929	D(G(z)): 0.1233 / 0.0781
[1/10][950/1272]	Loss_D: 0.5344	Loss_G: 3.5415	D(x): 0.8803	D(G(z)): 0.2846 / 0.0501
[1/10][1000/1272]	Loss_D: 0.4835	Loss_G: 3.6621	D(x): 0.8607	D(G(z)): 0.2465 / 0.0401
[1/10][1050/1272]	Loss_D: 0.4362	Loss_G: 3.6108	D(x): 0.8648	D(G(z)): 0.2061 / 0.0456
[1/10][1100/1272]	Loss_D: 0.4740	Loss_G: 3.5743	D(x): 0.8131	D(G(z)): 0.1870 / 0.0439
[1/10][1150/1272]	Loss_D: 0.6564	Loss_G: 4.3567	D(x): 0.8750	D(G(z)): 0.3459 / 0.0225
[1/10][1200/1272]	Loss_D: 0.4828	Loss_G: 3.6615	D(x): 0.8489	D(G(z)): 0.2257 / 0.0390
[1/10][1250/1272]	Loss_D: 0.3986	Loss_G: 2.8700	D(x): 0.8102	D(G(z)): 0.1400 / 0.0764
[2/10][0/1272]	Loss_D: 0.7402	Loss_G: 2.4710	D(x): 0.7165	D(G(z)): 0.2376 / 0.1223
